Month,Taxon,Type,FB reach,FB likes,Twitter reach,Twitter engagements,Blog post views
11/1/15,E.evergladianum,biraphid,239,3,672,19,
12/1/15,T. ziemanii,biraphid,204,0,1183,21,
1/1/16,G. parvulum,biraphid,54,1,1185,26,
2/1/16,C. meneghiniana,centric,60,0,599,7,
3/1/16,M. calcarea,biraphid,336,7,720,21,
4/1/16,C. placentula,monoraphid,63,1,498,20,
5/1/16,R. gibba,biraphid,78,4,"1,527",43,
6/1/16,E. cisalpina,biraphid,67,0,269,3,
7/1/16,N. amphibia,biraphid,63,5,826,19,
8/1/16,D. geminata,biraphid,122,1,731,17,
9/1/16,A. granulata,centric,173,2,"2,052",13,
10/1/16,B. brebissonii,biraphid,38,0,1581,30,
11/1/16,M. amphoroidea,biraphid,156,2,486,10,
12/1/16,T. fenestrata,biraphid,72,2,1640,60,
1/1/17,A. coffeaformis,biraphid,265,2,551,21,
2/1/17,Diatom art,topic,848,27,813,19,
3/1/17,M. pseudosmithii,biraphid,412,4,533,14,
4/1/17,S. pinnata,biraphid,567,2,489,6,
5/1/17,N. lanceolata,biraphid,361,10,981,27,
6/1/17,F. synegrotesca,araphid,790,2,493,21,
7/1/17,summary post,topic,129,3,337,2,
8/1/17,F. virescens,araphid,36,1,360,3,
9/1/17,R. adriatica,araphid,785,19,294,7,
10/1/17,L. comensis,centric,1155,34,654,18,
11/1/17,DNTF,topic,728,15,1138,36,
12/1/17,Water quality,topic,392,15,1656,51,
1/1/18,C. andinus / Andes,centric,503,18,512,24,459
2/1/18,A. baicalensis,centric,277,15,3574,63,302
3/1/18,A. barkeri,biraphid,412,20,3134,101,513
4/1/18,D. tenuis,centric,293,15,1851,69,273
5/1/18,C. granii,centric,235,5,1687,40,104
6/1/18,A. felinophila,monoraphid,305,19,2805,85,143
7/1/18,Ecological uniqueness,topic,322,19,1494,48,261
8/1/18,Okavango Delta,topic,,76,1898,56,198
9/1/18,Diatoms at conferences,topic,1857,76,803,34,1032
10/1/18,Discostella stelligera,centric,2839,110,2252,60,346
11/1/18,Diatoms.org,topic,1541,41,698,35,105
12/1/18,Pantocsekiella ocellata complex,centric,NA,NA,737,35,47
1/1/19,Chaetoceros,centric,2411,138,NA,NA,240
2/1/19,Temporary rivers,topic,1288,46,1374,34,367
3/1/19,Small araphid diatoms,araphid,996,49,855,30,204
4/1/19,diatom education,topic,1760,32,1034,46,522
5/1/19,Haslea,benthic,1033,59,1294,68,322
